Age,Attrition,Department,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
41,Yes,Sales,1,Female,2,Sales Executive,4,Single,5993,Yes,11,3,0,1,6,4,0
49,No,Research & Development,2,Male,2,Research Scientist,2,Married,5130,No,23,4,3,3,10,7,1
37,Yes,Research & Development,4,Male,1,Laboratory Technician,3,Single,2090,Yes,15,3,3,3,0,0,0
33,No,Research & Development,5,Female,1,Research Scientist,3,Married,2909,Yes,11,3,3,3,8,7,3
27,No,Research & Development,7,Male,1,Laboratory Technician,2,Married,3468,No,12,3,3,3,2,2,2
32,No,Research & Development,8,Male,1,Laboratory Technician,4,Single,3068,No,13,3,2,2,7,7,3
59,No,Research & Development,10,Female,1,Laboratory Technician,1,Married,2670,Yes,20,4,3,2,1,0,0
30,No,Research & Development,11,Male,1,Laboratory Technician,3,Divorced,2693,No,22,4,2,3,1,0,0
38,No,Research & Development,12,Male,3,Manufacturing Director,3,Single,9526,No,21,4,2,3,9,7,1
36,No,Research & Development,13,Male,2,Healthcare Representative,3,Married,5237,No,13,3,3,2,7,7,7
35,No,Research & Development,14,Male,1,Laboratory Technician,2,Married,2426,No,13,3,5,3,5,4,0
29,No,Research & Development,15,Female,2,Laboratory Technician,3,Single,4193,Yes,12,3,3,3,9,5,0
31,No,Research & Development,16,Male,1,Research Scientist,3,Divorced,2911,No,17,3,1,2,5,2,4
34,No,Research & Development,18,Male,1,Laboratory Technician,4,Divorced,2661,No,11,3,2,3,2,2,1
28,Yes,Research & Development,19,Male,1,Laboratory Technician,3,Single,2028,Yes,14,3,4,3,4,2,0
29,No,Research & Development,20,Female,3,Manufacturing Director,1,Divorced,9980,No,11,3,1,3,10,9,8
32,No,Research & Development,21,Male,1,Research Scientist,2,Divorced,3298,Yes,12,3,5,2,6,2,0
22,No,Research & Development,22,Male,1,Laboratory Technician,4,Divorced,2935,Yes,13,3,2,2,1,0,0
53,No,Sales,23,Female,4,Manager,4,Married,15427,No,16,3,3,3,25,8,3
38,No,Research & Development,24,Male,1,Research Scientist,4,Single,3944,Yes,11,3,3,3,3,2,1
24,No,Research & Development,26,Female,2,Manufacturing Director,3,Divorced,4011,No,18,3,5,2,4,2,1
36,Yes,Sales,27,Male,1,Sales Representative,1,Single,3407,No,23,4,4,3,5,3,0
34,No,Research & Development,28,Female,3,Research Director,2,Single,11994,No,11,3,4,3,12,6,2
21,No,Research & Development,30,Male,1,Research Scientist,4,Single,1232,No,14,3,6,3,0,0,0
34,Yes,Research & Development,31,Male,1,Research Scientist,1,Single,2960,No,11,3,2,3,4,2,1
53,No,Research & Development,32,Female,5,Manager,3,Divorced,19094,No,11,3,3,2,14,13,4
32,Yes,Research & Development,33,Female,1,Research Scientist,1,Single,3919,Yes,22,4,5,3,10,2,6
42,No,Sales,35,Male,2,Sales Executive,2,Married,6825,No,11,3,2,3,9,7,4
44,No,Research & Development,36,Female,3,Healthcare Representative,4,Married,10248,No,14,3,4,3,22,6,5
46,No,Sales,38,Female,5,Manager,1,Single,18947,No,12,3,2,2,2,2,2
33,No,Research & Development,39,Male,1,Laboratory Technician,4,Single,2496,No,11,3,3,3,1,1,0
44,No,Research & Development,40,Male,2,Healthcare Representative,4,Married,6465,Yes,13,3,5,4,4,2,1
30,No,Research & Development,41,Male,1,Laboratory Technician,3,Single,2206,No,13,3,5,3,10,0,1
39,Yes,Sales,42,Male,2,Sales Representative,4,Married,2086,No,14,3,6,4,1,0,0
24,Yes,Research & Development,45,Male,1,Research Scientist,4,Married,2293,Yes,16,3,2,2,2,0,2
43,No,Research & Development,46,Female,1,Research Scientist,3,Divorced,2645,No,12,3,3,2,5,3,1
50,Yes,Sales,47,Male,1,Sales Representative,3,Married,2683,Yes,14,3,2,3,3,2,0
35,No,Sales,49,Female,1,Sales Representative,4,Married,2014,No,13,3,3,3,2,2,2
36,No,Research & Development,51,Female,1,Research Scientist,1,Married,3419,Yes,14,3,3,4,1,1,0
33,No,Sales,52,Female,2,Sales Executive,1,Married,5376,No,19,3,3,3,5,3,1
35,No,Research & Development,53,Male,1,Laboratory Technician,4,Divorced,1951,No,12,3,3,3,1,0,0
27,No,Research & Development,54,Female,1,Laboratory Technician,1,Divorced,2341,No,13,3,6,3,1,0,0
26,Yes,Research & Development,55,Male,1,Laboratory Technician,3,Single,2293,No,12,3,2,2,1,0,0
27,No,Sales,56,Male,3,Sales Executive,3,Single,8726,No,15,3,0,3,9,8,1
30,No,Research & Development,57,Female,2,Laboratory Technician,4,Single,4011,No,23,4,2,3,12,8,3
41,Yes,Research & Development,58,Female,5,Research Director,3,Married,19545,No,12,3,0,3,22,15,15
34,No,Sales,60,Male,2,Sales Executive,3,Single,4568,No,20,4,2,3,9,5,8
37,No,Research & Development,61,Male,1,Research Scientist,2,Married,3022,No,21,4,1,3,1,0,0
46,No,Sales,62,Male,2,Sales Executive,4,Single,5772,Yes,21,4,4,3,9,6,0
35,No,Research & Development,63,Male,1,Laboratory Technician,4,Married,2269,No,19,3,2,3,1,0,0
48,Yes,Research & Development,64,Male,3,Laboratory Technician,3,Single,5381,Yes,13,3,2,3,1,0,0
28,Yes,Research & Development,65,Male,1,Laboratory Technician,3,Single,3441,Yes,13,3,3,2,2,2,2
44,No,Sales,68,Female,2,Sales Executive,1,Divorced,5454,Yes,21,4,2,2,4,3,1
35,No,Research & Development,70,Male,3,Healthcare Representative,1,Married,9884,Yes,13,3,3,3,4,0,2
26,No,Sales,72,Female,2,Sales Executive,4,Married,4157,Yes,19,3,2,2,2,2,0
33,No,Research & Development,73,Female,3,Research Director,4,Single,13458,Yes,12,3,1,3,15,14,8
35,No,Sales,74,Male,3,Sales Executive,1,Married,9069,No,22,4,3,2,9,8,1
35,No,Research & Development,75,Female,1,Laboratory Technician,1,Married,4014,Yes,15,3,3,3,2,2,2
31,No,Research & Development,76,Male,2,Laboratory Technician,4,Divorced,5915,No,22,4,3,2,7,7,1
37,No,Research & Development,77,Male,2,Manufacturing Director,3,Divorced,5993,No,18,3,2,4,7,5,0
32,No,Research & Development,78,Male,2,Manufacturing Director,4,Married,6162,Yes,22,4,3,3,9,8,7
38,No,Research & Development,79,Female,2,Laboratory Technician,4,Single,2406,No,11,3,2,3,10,3,9
50,No,Research & Development,80,Female,5,Research Director,3,Divorced,18740,Yes,12,3,2,2,27,3,13
59,No,Sales,81,Female,3,Sales Executive,1,Single,7637,No,11,3,3,2,21,16,7
36,No,Research & Development,83,Female,3,Healthcare Representative,3,Divorced,10096,No,13,3,2,3,17,14,12
55,No,Research & Development,84,Female,4,Manager,3,Divorced,14756,Yes,14,3,2,3,5,0,0
36,No,Research & Development,85,Male,2,Manufacturing Director,2,Single,6499,No,13,3,3,3,6,5,0
45,No,Research & Development,86,Male,3,Research Scientist,1,Divorced,9724,No,17,3,2,3,1,0,0
35,No,Research & Development,88,Male,1,Research Scientist,1,Married,2194,No,13,3,2,2,3,2,1
36,Yes,Research & Development,90,Male,1,Research Scientist,3,Married,3388,Yes,17,3,0,2,1,0,0
59,No,Sales,91,Female,2,Sales Executive,3,Single,5473,No,11,3,2,2,4,3,1
29,No,Research & Development,94,Male,1,Research Scientist,2,Married,2703,No,23,4,3,3,5,4,0
31,No,Research & Development,95,Male,1,Research Scientist,2,Single,2501,No,17,3,4,3,1,1,1
32,No,Research & Development,96,Male,2,Research Scientist,2,Married,6220,No,17,3,3,3,10,4,0
36,No,Research & Development,97,Female,1,Laboratory Technician,4,Married,3038,No,12,3,3,3,1,0,0
31,No,Research & Development,98,Female,2,Manufacturing Director,4,Single,4424,No,23,4,2,3,11,7,1
35,No,Sales,100,Male,2,Sales Executive,1,Single,4312,No,14,3,2,3,15,13,2
45,No,Research & Development,101,Male,3,Research Director,1,Married,13245,Yes,14,3,3,4,0,0,0
37,No,Research & Development,102,Male,3,Research Director,3,Single,13664,No,13,3,3,4,5,2,0
46,No,Human Resources,103,Male,2,Human Resources,2,Divorced,5021,Yes,22,4,2,3,4,2,0
30,No,Research & Development,104,Male,2,Laboratory Technician,4,Married,5126,Yes,12,3,1,2,10,8,3
35,No,Research & Development,105,Male,1,Research Scientist,3,Single,2859,No,18,3,3,3,6,4,0
55,No,Sales,106,Male,3,Sales Executive,4,Married,10239,No,14,3,4,3,1,0,1
38,No,Research & Development,107,Female,2,Research Scientist,4,Divorced,5329,Yes,12,3,3,3,13,11,1
34,No,Research & Development,110,Male,2,Manufacturing Director,2,Married,4325,No,15,3,2,3,5,2,1
56,No,Research & Development,112,Male,3,Manufacturing Director,4,Single,7260,No,11,3,3,2,6,4,0
23,No,Sales,113,Male,1,Sales Representative,1,Divorced,2322,No,13,3,3,3,0,0,0
51,No,Research & Development,116,Male,1,Laboratory Technician,4,Married,2075,No,23,4,4,3,4,2,0
30,No,Research & Development,117,Male,2,Healthcare Representative,4,Married,4152,No,19,3,3,3,11,10,10
46,Yes,Sales,118,Male,3,Sales Executive,4,Single,9619,No,16,3,3,3,9,8,4
40,No,Research & Development,119,Male,4,Healthcare Representative,2,Married,13503,No,22,4,3,2,22,3,11
51,No,Sales,120,Male,2,Sales Executive,4,Single,5441,Yes,22,4,2,1,10,7,1
30,No,Sales,121,Female,2,Sales Executive,2,Divorced,5209,Yes,12,3,4,2,11,8,2
46,No,Research & Development,124,Male,3,Healthcare Representative,1,Married,10673,Yes,13,3,5,2,10,9,9
32,No,Sales,125,Male,2,Sales Executive,3,Single,5010,No,16,3,0,3,11,8,5
54,No,Research & Development,126,Female,3,Research Director,3,Married,13549,No,12,3,5,1,4,3,0
24,No,Sales,128,Female,2,Sales Executive,3,Married,4999,No,21,4,2,2,3,2,0
28,No,Sales,129,Male,2,Sales Executive,3,Married,4221,No,15,3,3,4,5,4,0
58,No,Sales,131,Male,4,Sales Executive,3,Single,13872,No,13,3,1,2,37,10,1
44,No,Research & Development,132,Male,2,Laboratory Technician,2,Married,2042,No,12,3,3,4,3,2,1
37,Yes,Human Resources,133,Male,1,Human Resources,1,Divorced,2073,Yes,22,4,3,3,3,2,0
32,No,Research & Development,134,Male,1,Research Scientist,1,Single,2956,No,13,3,2,3,1,0,0
20,Yes,Research & Development,137,Female,1,Laboratory Technician,4,Single,2926,Yes,18,3,5,3,1,0,1
34,No,Research & Development,138,Female,2,Research Scientist,3,Single,4809,No,14,3,3,3,16,13,2
37,No,Research & Development,139,Male,2,Healthcare Representative,4,Divorced,5163,No,14,3,2,4,1,0,0
59,No,Human Resources,140,Female,5,Manager,4,Married,18844,No,21,4,3,3,3,2,2
50,No,Research & Development,141,Female,5,Research Director,2,Married,18172,Yes,19,3,1,2,8,3,0
25,Yes,Sales,142,Male,2,Sales Executive,3,Single,5744,Yes,11,3,1,3,6,4,0
25,No,Research & Development,143,Male,1,Research Scientist,4,Married,2889,No,11,3,2,3,2,2,2
22,No,Research & Development,144,Female,1,Laboratory Technician,4,Single,2871,No,15,3,5,3,0,0,0
51,No,Research & Development,145,Female,3,Healthcare Representative,1,Single,7484,No,20,4,1,2,13,12,12
34,Yes,Research & Development,147,Male,2,Laboratory Technician,3,Single,6074,Yes,24,4,3,3,9,7,0
54,No,Human Resources,148,Female,4,Manager,4,Single,17328,Yes,12,3,3,3,5,3,4
24,No,Research & Development,150,Male,1,Laboratory Technician,3,Married,2774,No,12,3,2,3,5,3,1
34,No,Research & Development,151,Female,2,Research Scientist,2,Divorced,4505,No,15,3,3,3,1,0,0
37,No,Sales,152,Male,3,Sales Executive,4,Single,7428,No,12,3,3,3,5,3,1
34,No,Research & Development,153,Female,3,Manager,1,Single,11631,No,12,3,6,3,11,10,5
36,No,Sales,154,Female,3,Sales Executive,4,Married,9738,No,14,3,6,3,9,7,2
36,No,Research & Development,155,Female,1,Laboratory Technician,4,Divorced,2835,No,22,4,2,3,1,0,0
43,No,Sales,158,Male,4,Manager,4,Married,16959,Yes,12,3,3,4,25,12,4
30,No,Research & Development,159,Male,1,Research Scientist,3,Divorced,2613,No,25,4,2,2,10,7,0
33,No,Sales,160,Male,2,Sales Executive,2,Married,6146,No,13,3,2,4,7,7,0
56,Yes,Research & Development,161,Female,1,Research Scientist,2,Married,4963,Yes,18,3,2,3,5,4,4
51,No,Research & Development,162,Male,5,Research Director,3,Single,19537,No,13,3,5,3,20,18,15
31,Yes,Sales,163,Male,2,Sales Executive,3,Married,6172,Yes,18,3,3,2,7,7,7
26,No,Research & Development,164,Female,1,Research Scientist,2,Married,2368,No,19,3,3,2,5,4,4
58,Yes,Research & Development,165,Female,3,Healthcare Representative,4,Married,10312,No,12,3,3,2,40,10,15
19,Yes,Sales,167,Male,1,Sales Representative,3,Single,1675,Yes,19,3,2,2,0,0,0
22,No,Research & Development,169,Male,1,Laboratory Technician,4,Married,2523,No,14,3,2,3,2,1,2
49,No,Research & Development,170,Female,2,Manufacturing Director,1,Married,6567,No,14,3,2,2,15,11,5
43,No,Research & Development,171,Female,1,Research Scientist,3,Single,4739,No,12,3,2,3,3,2,1
50,No,Sales,174,Female,3,Sales Executive,4,Single,9208,No,11,3,3,3,2,2,2
31,Yes,Sales,175,Female,2,Sales Executive,3,Married,4559,Yes,11,3,2,3,2,2,2
41,No,Sales,176,Male,3,Sales Executive,3,Divorced,8189,Yes,13,3,2,3,9,7,0
26,No,Human Resources,177,Female,1,Human Resources,3,Married,2942,No,23,4,3,3,8,7,5
36,No,Research & Development,178,Male,2,Manufacturing Director,2,Divorced,4941,No,20,4,0,3,3,2,0
51,Yes,Research & Development,179,Male,3,Manufacturing Director,4,Single,10650,No,15,3,2,3,4,2,0
39,No,Sales,182,Female,2,Sales Executive,3,Married,5902,No,14,3,1,4,15,11,5
25,No,Sales,183,Male,2,Sales Executive,3,Married,8639,No,18,3,3,3,2,2,2
30,No,Human Resources,184,Male,2,Human Resources,4,Married,6347,Yes,19,3,2,1,11,9,4
32,Yes,Research & Development,190,Female,1,Laboratory Technician,1,Single,4200,No,22,4,2,4,5,4,0
45,No,Research & Development,192,Male,1,Research Scientist,4,Single,3452,No,13,3,2,2,6,5,0
38,No,Research & Development,193,Female,2,Research Scientist,3,Single,4317,Yes,20,4,2,3,3,2,2
30,No,Research & Development,194,Female,1,Research Scientist,3,Single,2632,No,14,3,4,2,5,4,0
32,No,Sales,195,Male,2,Sales Executive,4,Divorced,4668,No,17,3,2,4,8,7,0
30,No,Research & Development,197,Female,1,Research Scientist,1,Divorced,3204,No,14,3,3,3,3,2,2
30,No,Research & Development,198,Male,1,Laboratory Technician,4,Single,2720,No,13,3,3,3,5,3,1
41,No,Research & Development,199,Male,4,Manager,1,Divorced,17181,No,13,3,2,2,7,6,7
41,No,Research & Development,200,Male,1,Laboratory Technician,1,Married,2238,No,21,4,2,3,5,0,1
19,No,Research & Development,201,Female,1,Laboratory Technician,2,Single,1483,No,14,3,3,3,1,0,0
40,No,Research & Development,202,Female,2,Research Scientist,2,Divorced,5605,No,11,3,2,3,20,7,2
35,No,Sales,204,Male,3,Sales Executive,2,Married,7295,No,13,3,3,3,10,8,0
53,No,Sales,205,Male,2,Sales Representative,3,Married,2306,Yes,20,4,3,1,7,7,4
45,No,Research & Development,206,Male,2,Laboratory Technician,2,Divorced,2348,No,18,3,2,1,17,9,0
32,No,Sales,207,Female,3,Sales Executive,4,Single,8998,No,14,3,2,3,9,8,3
29,No,Research & Development,208,Male,2,Manufacturing Director,3,Married,4319,No,13,3,1,3,10,7,0
51,No,Research & Development,211,Male,2,Manufacturing Director,3,Married,6132,No,17,3,2,3,1,0,0
58,No,Research & Development,214,Female,1,Research Scientist,2,Married,3346,Yes,20,4,3,2,1,0,0
40,No,Sales,215,Male,3,Sales Executive,4,Married,10855,No,11,3,2,2,12,11,2
34,No,Sales,216,Female,1,Sales Representative,3,Married,2231,No,18,3,3,3,4,3,1
22,No,Research & Development,217,Male,1,Research Scientist,4,Married,2323,No,24,4,6,3,2,2,2
27,No,Research & Development,218,Male,1,Research Scientist,2,Divorced,2024,No,18,3,1,1,2,2,2
28,No,Research & Development,221,Male,1,Research Scientist,4,Married,2713,No,11,3,2,1,5,2,0
57,No,Research & Development,223,Male,3,Healthcare Representative,4,Divorced,9439,Yes,16,3,2,1,5,3,1
27,No,Research & Development,224,Male,1,Research Scientist,3,Divorced,2566,Yes,15,3,2,2,1,1,0
50,No,Research & Development,226,Female,5,Manager,2,Single,19926,No,15,3,5,3,5,4,4
41,No,Research & Development,227,Male,1,Research Scientist,3,Divorced,2451,No,12,3,2,3,9,8,1
30,No,Sales,228,Female,3,Sales Executive,4,Married,9419,No,12,3,2,3,10,9,7
38,No,Sales,230,Female,2,Sales Executive,4,Single,8686,No,22,4,2,4,8,3,0
32,No,Research & Development,231,Male,1,Research Scientist,3,Single,3038,No,20,4,2,3,5,4,1
27,No,Research & Development,233,Male,1,Research Scientist,2,Married,3058,Yes,16,3,3,2,5,2,1
19,Yes,Sales,235,Female,1,Sales Representative,1,Single,2325,No,21,4,5,4,0,0,0
36,No,Research & Development,238,Male,1,Laboratory Technician,2,Single,2088,No,12,3,3,2,8,7,7
30,No,Research & Development,239,Male,2,Laboratory Technician,1,Divorced,3072,No,11,3,4,3,12,9,6
45,No,Sales,240,Female,2,Sales Executive,1,Divorced,5006,Yes,11,3,3,4,5,4,0
56,No,Research & Development,241,Female,1,Research Scientist,1,Divorced,4257,Yes,18,3,3,3,2,2,2
33,No,Research & Development,242,Male,1,Research Scientist,4,Single,2500,No,14,3,2,4,3,1,0
19,Yes,Research & Development,243,Male,1,Laboratory Technician,4,Single,1102,No,22,4,3,2,1,0,1
46,No,Sales,244,Female,3,Sales Executive,1,Divorced,10453,No,25,4,2,3,24,13,15
38,No,Research & Development,245,Female,1,Laboratory Technician,4,Single,2288,No,12,3,3,3,2,2,2
31,No,Research & Development,246,Female,1,Research Scientist,4,Married,3929,Yes,23,4,0,3,4,2,0
34,No,Research & Development,247,Female,1,Research Scientist,2,Single,2311,No,15,3,3,3,3,2,1
41,Yes,Sales,248,Female,1,Sales Representative,2,Single,3140,Yes,22,4,5,2,4,3,0
50,No,Research & Development,249,Male,1,Laboratory Technician,3,Married,3690,No,15,3,2,2,3,2,0
53,No,Research & Development,250,Female,2,Manufacturing Director,1,Divorced,4450,No,11,3,3,3,4,2,1
33,No,Research & Development,252,Female,1,Research Scientist,2,Married,2756,No,13,3,5,3,8,7,1
40,No,Research & Development,253,Female,5,Manager,3,Married,19033,No,14,3,2,3,20,8,9
55,No,Research & Development,254,Male,5,Research Director,2,Single,18722,No,11,3,3,3,24,15,2
34,No,Research & Development,256,Male,2,Manufacturing Director,3,Married,9547,No,17,3,2,2,10,9,1
51,No,Research & Development,258,Female,4,Healthcare Representative,2,Single,13734,No,18,3,6,3,7,7,1
52,No,Research & Development,259,Male,5,Manager,3,Married,19999,No,14,3,5,3,33,18,11
27,No,Research & Development,260,Female,1,Research Scientist,2,Single,2279,No,16,3,2,2,7,7,0
35,Yes,Research & Development,261,Male,2,Manufacturing Director,3,Married,5916,Yes,13,3,1,3,1,0,0
43,No,Research & Development,262,Male,1,Research Scientist,4,Divorced,2089,No,14,3,3,4,5,4,2
45,No,Research & Development,264,Male,4,Manager,4,Married,16792,No,23,4,1,3,20,8,11
37,No,Research & Development,267,Male,1,Research Scientist,1,Married,3564,Yes,12,3,3,2,8,7,1
35,No,Research & Development,269,Female,2,Laboratory Technician,2,Single,4425,No,11,3,5,3,6,2,1
42,No,Research & Development,270,Female,2,Manufacturing Director,3,Divorced,5265,No,16,3,5,3,5,3,0
38,No,Research & Development,271,Male,2,Manufacturing Director,3,Married,6553,No,14,3,3,3,1,0,0
38,No,Research & Development,273,Male,2,Manufacturing Director,4,Married,6261,No,18,3,3,1,7,7,1
27,No,Research & Development,274,Male,2,Manufacturing Director,1,Married,4298,No,19,3,1,3,2,2,2
49,No,Research & Development,275,Male,2,Manufacturing Director,4,Divorced,6804,Yes,15,3,0,3,7,7,1
34,No,Research & Development,277,Male,1,Research Scientist,3,Divorced,3815,Yes,17,3,4,4,5,3,2
40,No,Research & Development,281,Male,2,Laboratory Technician,4,Married,2741,Yes,15,3,2,4,7,2,3
38,Yes,Research & Development,282,Male,2,Healthcare Representative,1,Married,6673,Yes,19,3,2,3,1,0,0
29,Yes,Sales,283,Female,3,Sales Executive,4,Married,7639,No,22,4,3,2,10,4,1
22,No,Research & Development,284,Male,1,Research Scientist,2,Divorced,2328,Yes,16,3,2,2,4,2,2
36,No,Research & Development,286,Female,1,Laboratory Technician,4,Single,2153,No,13,3,2,3,8,1,1
40,No,Research & Development,287,Male,2,Healthcare Representative,4,Married,4876,No,14,3,5,1,3,2,0
46,No,Research & Development,288,Male,3,Healthcare Representative,1,Divorced,9396,No,16,3,3,3,4,2,0
32,Yes,Sales,291,Male,3,Sales Executive,4,Married,10400,No,11,3,2,2,14,8,9
